2024-06-26T00:25:47.121+05:30  INFO 3224 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2024-06-26T18:51:27.877+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to map User to AuthenticationResponse class
2024-06-26T18:51:36.602+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:51:36.602+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJha2Fyc2h0a25AZ21haWwuY29tIiwiaWF0IjoxNzE5NDA4MDg3LCJleHAiOjE3MTk0MTUyODd9.jhqdAkUuX2ETVCeByTxioKn8agJk3dN5dgphKFUWyF0
2024-06-26T18:51:36.602+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:51:36.602+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJha2Fyc2h0a25AZ21haWwuY29tIiwiaWF0IjoxNzE5NDA4MDg3LCJleHAiOjE3MTk0MTUyODd9.jhqdAkUuX2ETVCeByTxioKn8agJk3dN5dgphKFUWyF0
2024-06-26T18:51:36.602+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract username from token
2024-06-26T18:51:36.602+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T18:51:36.602+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract username from token
2024-06-26T18:51:36.602+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
2024-06-26T18:51:36.602+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T18:51:36.602+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
2024-06-26T18:51:36.602+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:51:36.602+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:51:36.602+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Extracted username : akarshtkn@gmail.com
2024-06-26T18:51:36.602+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract user details from username
2024-06-26T18:51:36.614+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Extracted username : akarshtkn@gmail.com
2024-06-26T18:51:36.614+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract user details from username
2024-06-26T18:51:36.614+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to check expiration of token
2024-06-26T18:51:36.614+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T18:51:36.614+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
2024-06-26T18:51:36.614+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:51:36.614+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to check expiration of token
2024-06-26T18:51:36.614+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T18:51:36.614+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
2024-06-26T18:51:36.614+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:51:36.614+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Token expired : false
2024-06-26T18:51:36.614+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T18:51:36.614+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Token expired : false
2024-06-26T18:51:36.614+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T18:52:46.183+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:52:46.184+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJha2Fyc2h0a25AZ21haWwuY29tIiwiaWF0IjoxNzE5NDA4MDg3LCJleHAiOjE3MTk0MTUyODd9.jhqdAkUuX2ETVCeByTxioKn8agJk3dN5dgphKFUWyF0
2024-06-26T18:52:46.184+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract username from token
2024-06-26T18:52:46.184+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T18:52:46.184+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
2024-06-26T18:52:46.184+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:52:46.188+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Extracted username : akarshtkn@gmail.com
2024-06-26T18:52:46.188+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract user details from username
2024-06-26T18:52:46.193+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to check expiration of token
2024-06-26T18:52:46.193+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T18:52:46.193+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
2024-06-26T18:52:46.193+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:52:46.196+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Token expired : false
2024-06-26T18:52:46.196+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T18:52:46.200+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.AuthenticationController       : Logout endpoint
2024-06-26T18:52:46.200+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.AuthenticationController       : Cookie cleared
2024-06-26T18:54:11.075+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:54:11.075+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T18:54:11.075+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T18:54:11.075+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.c.AuthenticationController       : Authentication endpoint
2024-06-26T18:54:11.075+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to authenticate the user
2024-06-26T18:54:17.818+05:30  INFO 9340 --- [http-nio-8080-exec-1] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:54:17.818+05:30  INFO 9340 --- [http-nio-8080-exec-1] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T18:54:17.818+05:30  INFO 9340 --- [http-nio-8080-exec-1] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T18:54:17.818+05:30  INFO 9340 --- [http-nio-8080-exec-10] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:54:17.818+05:30  INFO 9340 --- [http-nio-8080-exec-10] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T18:54:17.818+05:30  INFO 9340 --- [http-nio-8080-exec-10] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:13:03.648+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:13:03.648+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:13:03.657+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T19:13:03.657+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T19:13:03.657+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:13:03.657+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:15:24.579+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:15:24.581+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T19:15:24.581+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:15:24.583+05:30  INFO 9340 --- [http-nio-8080-exec-10] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:15:24.585+05:30  INFO 9340 --- [http-nio-8080-exec-10] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T19:15:24.585+05:30  INFO 9340 --- [http-nio-8080-exec-10] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:17:17.579+05:30  INFO 9340 --- [http-nio-8080-exec-3] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:17:17.579+05:30  INFO 9340 --- [http-nio-8080-exec-3] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T19:17:17.579+05:30  INFO 9340 --- [http-nio-8080-exec-3] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:17:17.579+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:17:17.579+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T19:17:17.579+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:17:54.581+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:17:54.581+05:30  INFO 9340 --- [http-nio-8080-exec-7] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:17:54.581+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T19:17:54.581+05:30  INFO 9340 --- [http-nio-8080-exec-7] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T19:17:54.581+05:30  INFO 9340 --- [http-nio-8080-exec-7] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:17:54.581+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:18:51.579+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:18:51.579+05:30  INFO 9340 --- [http-nio-8080-exec-1] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:18:51.579+05:30  INFO 9340 --- [http-nio-8080-exec-1] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T19:18:51.579+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T19:18:51.580+05:30  INFO 9340 --- [http-nio-8080-exec-1] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:18:51.580+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:19:51.579+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:19:51.579+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T19:19:51.580+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:19:51.580+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:19:51.580+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T19:19:51.580+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:20:17.952+05:30  INFO 9340 --- [http-nio-8080-exec-10] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:20:17.952+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:20:17.952+05:30  INFO 9340 --- [http-nio-8080-exec-10] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T19:20:17.952+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T19:20:17.952+05:30  INFO 9340 --- [http-nio-8080-exec-10] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:20:17.952+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:24:24.918+05:30  INFO 9340 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2024-06-26T19:24:24.961+05:30  INFO 9340 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2024-06-26T19:24:24.983+05:30  INFO 9340 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2024-06-26T19:42:11.200+05:30  INFO 4720 --- [main] com.tuskers.backend.BackendApplication   : Starting BackendApplication using Java 17.0.11 with PID 4720 (D:\Projects\Tuskers Database Web Application\backend\target\classes started by MSI 1 in D:\Projects\Tuskers Database Web Application\backend)
2024-06-26T19:42:11.204+05:30  INFO 4720 --- [main] com.tuskers.backend.BackendApplication   : No active profile set, falling back to 1 default profile: "default"
2024-06-26T19:42:12.428+05:30  INFO 4720 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-06-26T19:42:12.500+05:30  INFO 4720 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 67 ms. Found 2 JPA repository interfaces.
2024-06-26T19:42:13.459+05:30  INFO 4720 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2024-06-26T19:42:13.475+05:30  INFO 4720 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-06-26T19:42:13.475+05:30  INFO 4720 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-06-26T19:42:13.567+05:30  INFO 4720 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-06-26T19:42:13.567+05:30  INFO 4720 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2313 ms
2024-06-26T19:42:13.763+05:30  INFO 4720 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-06-26T19:42:13.910+05:30  INFO 4720 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.5.2.Final
2024-06-26T19:42:14.018+05:30  INFO 4720 --- [main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2024-06-26T19:42:14.512+05:30  INFO 4720 --- [main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2024-06-26T19:42:14.547+05:30  INFO 4720 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2024-06-26T19:42:14.826+05:30  INFO 4720 --- [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@37c2f0b4
2024-06-26T19:42:14.829+05:30  INFO 4720 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2024-06-26T19:42:16.441+05:30  INFO 4720 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-06-26T19:42:16.544+05:30  INFO 4720 --- [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-06-26T19:42:16.896+05:30  INFO 4720 --- [main] o.s.d.j.r.query.QueryEnhancerFactory     : Hibernate is in classpath; If applicable, HQL parser will be used.
2024-06-26T19:42:17.087+05:30  INFO 4720 --- [main] eAuthenticationProviderManagerConfigurer : Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
2024-06-26T19:42:17.089+05:30  WARN 4720 --- [main] r$InitializeUserDetailsManagerConfigurer : Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
2024-06-26T19:42:17.196+05:30  WARN 4720 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-06-26T19:42:17.553+05:30  INFO 4720 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3284de45, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5390862e, org.springframework.security.web.context.SecurityContextHolderFilter@6fc03cf6, org.springframework.security.web.header.HeaderWriterFilter@1b0fc8b, org.springframework.web.filter.CorsFilter@4fccdd1d, org.springframework.security.web.authentication.logout.LogoutFilter@2ced7cf, com.tuskers.backend.jwt.configuration.JwtAuthenticationFilter@45ac973, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5fcff272, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@495e1ad1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@22c0c0bc, org.springframework.security.web.session.SessionManagementFilter@78723798, org.springframework.security.web.access.ExceptionTranslationFilter@75c30a4f, org.springframework.security.web.access.intercept.AuthorizationFilter@c2dab10]
2024-06-26T19:42:17.921+05:30  INFO 4720 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path '/'
2024-06-26T19:42:17.955+05:30  INFO 4720 --- [main] com.tuskers.backend.BackendApplication   : Started BackendApplication in 7.247 seconds (process running for 8.422)
2024-06-26T19:42:46.104+05:30  INFO 4720 --- [http-nio-8080-exec-3] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-26T19:42:46.104+05:30  INFO 4720 --- [http-nio-8080-exec-3] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-06-26T19:42:46.108+05:30  INFO 4720 --- [http-nio-8080-exec-3] o.s.web.servlet.DispatcherServlet        : Completed initialization in 4 ms
2024-06-26T19:42:46.150+05:30  INFO 4720 --- [http-nio-8080-exec-3] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:42:46.150+05:30  INFO 4720 --- [http-nio-8080-exec-3] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T19:42:46.150+05:30  INFO 4720 --- [http-nio-8080-exec-3] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:42:46.315+05:30  INFO 4720 --- [http-nio-8080-exec-3] c.t.b.j.c.AuthenticationController       : Authentication endpoint
2024-06-26T19:42:46.316+05:30  INFO 4720 --- [http-nio-8080-exec-3] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to authenticate the user
2024-06-26T19:42:46.806+05:30  INFO 4720 --- [http-nio-8080-exec-3] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to fetch user details of user with username :akarshtkn@gmail.com
2024-06-26T19:42:46.811+05:30  INFO 4720 --- [http-nio-8080-exec-3] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to generate token with user details
2024-06-26T19:42:46.811+05:30  INFO 4720 --- [http-nio-8080-exec-3] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to generate token without extra claims
2024-06-26T19:42:46.811+05:30  INFO 4720 --- [http-nio-8080-exec-3] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to generate token
2024-06-26T19:42:46.827+05:30  INFO 4720 --- [http-nio-8080-exec-3] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T19:42:46.861+05:30  INFO 4720 --- [http-nio-8080-exec-3] c.t.b.j.c.AuthenticationController       : Executing business logic to set the cookie in response header
2024-06-26T19:42:46.885+05:30  INFO 4720 --- [http-nio-8080-exec-3] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to map User to AuthenticationResponse class
2024-06-26T19:42:57.548+05:30  INFO 4720 --- [http-nio-8080-exec-1] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:42:57.551+05:30  INFO 4720 --- [http-nio-8080-exec-1] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJha2Fyc2h0a25AZ21haWwuY29tIiwiaWF0IjoxNzE5NDExMTY2LCJleHAiOjE3MTk0MTgzNjZ9.n5-Cejt4WyBi4lquOqEKwxBy3wtbMs-cA9nB1zQyK8g
2024-06-26T19:42:57.553+05:30  INFO 4720 --- [http-nio-8080-exec-1] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract username from token
2024-06-26T19:42:57.554+05:30  INFO 4720 --- [http-nio-8080-exec-1] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T19:42:57.554+05:30  INFO 4720 --- [http-nio-8080-exec-1] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
2024-06-26T19:42:57.557+05:30  INFO 4720 --- [http-nio-8080-exec-1] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T19:42:57.584+05:30  INFO 4720 --- [http-nio-8080-exec-1] c.t.b.j.s.Implementation.JwtServiceImpl  : Extracted username : akarshtkn@gmail.com
2024-06-26T19:42:57.585+05:30  INFO 4720 --- [http-nio-8080-exec-1] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract user details from username
2024-06-26T19:42:57.635+05:30  INFO 4720 --- [http-nio-8080-exec-1] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to check expiration of token
2024-06-26T19:42:57.636+05:30  INFO 4720 --- [http-nio-8080-exec-1] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T19:42:57.636+05:30  INFO 4720 --- [http-nio-8080-exec-1] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
2024-06-26T19:42:57.636+05:30  INFO 4720 --- [http-nio-8080-exec-1] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T19:42:57.638+05:30  INFO 4720 --- [http-nio-8080-exec-1] c.t.b.j.s.Implementation.JwtServiceImpl  : Token expired : false
2024-06-26T19:42:57.639+05:30  INFO 4720 --- [http-nio-8080-exec-1] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T19:43:06.129+05:30  INFO 4720 --- [http-nio-8080-exec-4] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T19:43:06.130+05:30  INFO 4720 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJha2Fyc2h0a25AZ21haWwuY29tIiwiaWF0IjoxNzE5NDExMTY2LCJleHAiOjE3MTk0MTgzNjZ9.n5-Cejt4WyBi4lquOqEKwxBy3wtbMs-cA9nB1zQyK8g
2024-06-26T19:43:06.130+05:30  INFO 4720 --- [http-nio-8080-exec-4] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract username from token
2024-06-26T19:43:06.130+05:30  INFO 4720 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T19:43:06.130+05:30  INFO 4720 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
